Video ID,Video method,Language,Gender,Age Group,Region,Description
H-BqlDiej-s,scraped,Hindi/English,Man,26-35,Unknown,"The video likely shows a 26-35 aged man speaking loudly, with a neutral expression."
LQmgHiuqs_8,scraped,Hindi/English,Woman,26-35,Unknown,"The video likely shows a 26-35 aged woman speaking loudly, appearing happy."
ztRVxgr4hM4,scraped,Hindi/English,Man,26-35,Unknown,"The video likely shows a 26-35 aged man speaking loudly, appearing angry."
LQmgHiuqs_8,scraped,Hindi/English,Woman,26-35,Unknown,"The video likely shows a 26-35 woman speaking loudly, appearing happy, wearing casual clothing and wearing bag."
FsKwq4LEXEI,scraped,Hindi/English,Woman,26-35,Unknown,"The video likely shows a 26-35 woman speaking loudly, appearing sad, wearing casual clothing."
l6K182vO_jw,scraped,Hindi/English,Woman,26-35,Unknown,"The video likely shows a 26-35 woman standing, speaking calmly, expressing anger, wearing casual clothing."
Ht5JnG2JaA4,scraped,Hindi/English,Man,26-35,Unknown,"The video likely shows a 26-35 man siting, silent, with a neutral expression, wearing casual clothing."
bZuweGW52Tc,scraped,Hindi/English,Man,36-45,Unknown,"The video likely shows a 36-45 man posture unclear, speaking calmly, with unclear emotion, wearing casual clothing."
QmKXuKBMXEE,scraped,Hindi/English,Man,26-35,Unknown,"The video likely shows a 26-35 man standing, speaking calmly, appearing happy, wearing casual clothing and wearing tie."
GyxKJKY4yks,scraped,Hindi/English,Man,26-35,Unknown,"The video likely shows a 26-35 man sitting, speaking calmly, with a neutral expression, wearing casual clothing."
